dataset,method,learning,effective_bits,energy_j,max_relay_energy_j,utility_target_js,independent_coverage_js
Intel,random,1.7427260377592328,2552478.4755081604,7.070700493668713,0.2660581284843783,0.06415258869970754,0.00020367635811210737
Intel,resource,1.7472733202971837,2229551.465380341,6.3279683703747365,0.13777334342197164,0.10573721403022718,0.0008175845219165562
Intel,utility,1.7293407282633506,2687012.664172168,7.380129127595934,0.3234264761732478,0.0408650734630445,0.004158004227614301
Intel,random_adaptive,1.7542504294601984,976582.818122706,3.4461404816822245,0.09627091368381889,0.05401938004945846,0.00020367635811210737
Intel,resource_adaptive,1.7285313777303593,916278.0424840136,3.307439497713232,0.0902279909325568,0.08426900260169481,0.00034134530189529637
Intel,utility_adaptive,1.7422436410667235,1059632.114991197,3.637153864479752,0.11272353029547218,0.03246079567338465,0.00472101432110658
Intel,proposed_fixed_comp,1.7369453872008584,2372897.127455671,6.657663393147996,0.14299646478547284,0.028340987962540403,0.002578842402664607
Intel,fedcg_adapted,1.7362216135351765,980180.3159216108,3.4544147266197056,0.09641358996413837,0.09107708537710524,0.0002709690327604842
Intel,proposed,1.73480239243298,992276.115288799,3.482235065164236,0.09694453452385955,0.011764398561541994,0.0037545870113881185
UCI HAR,random,0.8276218611521419,39653149.58782039,67.30350118438369,3.342075749405685,0.07312514713062343,3.2643444388463994e-05
UCI HAR,resource,0.86410635155096,28784585.962949634,44.73015915252952,0.4591172330146306,0.17158181542661233,8.055999442529572e-05
UCI HAR,utility,0.79561792220581,40942040.68540186,69.91384488029425,4.045255248824152,0.05616143081244666,6.22857663210762e-05
UCI HAR,random_adaptive,0.8792220580994584,12396881.881972808,21.320273536229607,1.6295503000541571,0.05347298385156085,2.22377019221171e-05
UCI HAR,resource_adaptive,0.8751354012801575,8872414.869883165,14.343827205359394,0.17040988148089656,0.15529113321513902,7.545273175153314e-05
UCI HAR,utility_adaptive,0.8778926637124569,12644972.92781148,21.814688341030894,1.9356590179925046,0.042101140496305735,3.418195928325159e-05
UCI HAR,proposed_fixed_comp,0.794682422451994,31231811.378314078,49.25836042756002,0.8068701656378708,0.10097740472038434,7.818647167513074e-05
UCI HAR,fedcg_adapted,0.8760216642048253,9311113.476471554,15.341271258058402,0.6434742911152924,0.13411011069216747,6.962678667563181e-05
UCI HAR,proposed,0.8867060561299853,11253027.880925816,19.199521551518746,1.2421220972369713,0.027457506262656844,6.41251747947287e-05
