seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,representation_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
7,0.0,1,random,0.748,0.7163966232332345,46939.23168848863,18720.0,36576.0,1.3333333333333333,2.5074375901970423,0.17820009275452633,8.580107050258853,10.135766428564501,0.25,0.38920979101882003,0.05566337894551607,0.00949581662175025,0.01349581662175025,6,6
7,0.0,2,random,0.871,0.864560311161412,106402.48694470982,37440.0,73152.0,1.5,2.8419467666856257,0.38445103379947126,8.54288170523988,10.127172639354294,0.42857142857142855,0.22013988474749938,0.013723035534832749,0.01148177836582262,0.01548177836582262,6,6
7,0.0,3,random,0.879,0.8728453705713974,152255.58845658306,56160.0,109728.0,1.4444444444444444,2.7111037830588156,0.5605145448458766,8.505656360220907,10.119836659727362,0.48214285714285715,0.18412078330559167,0.0035313386584899255,0.02004154364921502,0.02804154364921502,6,6
7,0.0,4,random,0.905,0.9018056192305414,214079.6903328441,74880.0,146304.0,1.5,2.858970223462128,0.7716513815851657,8.505656360220907,10.11103929152989,0.5454545454545454,0.1555061046205551,0.0025225277952284535,0.02852450759731982,0.04052450759731982,6,4
7,0.0,5,random,0.892,0.8868958616946125,257186.32521709395,93600.0,182880.0,1.4333333333333333,2.7477171497552773,0.9374904239902107,8.482451787026541,10.10412933142968,0.6048387096774194,0.12585422108063357,0.0035230494211167854,0.03044533509746786,0.04644533509746786,6,6
7,0.0,6,random,0.885,0.8786325288670515,287009.6306119063,112320.0,219456.0,1.3611111111111112,2.5552851728268013,1.078225382082429,8.459247213832175,10.098265374842505,0.675,0.09916295847693984,0.0015940919517175747,0.02644533509746786,0.04644533509746786,6,6
7,0.0,7,random,0.903,0.8984106621185068,338464.1639387359,131040.0,256032.0,1.380952380952381,2.582907233964712,1.2686287759189006,8.459247213832175,10.090331900099319,0.6933962264150944,0.0889525170870931,0.0020315378627678987,0.030032676796426423,0.054032676796426427,6,6
7,0.0,8,random,0.9,0.8949751740302411,376337.33174921735,149760.0,292608.0,1.3541666666666667,2.512936242983556,1.4276456683178917,8.459247213832175,10.083706196249361,0.7384615384615385,0.08306916722168114,0.00226329176338595,0.026032676796426422,0.054032676796426427,6,6
7,0.0,9,random,0.913,0.9097428170763973,429015.555858106,168480.0,329184.0,1.3703703703703705,2.5463886268880933,1.618516895391519,8.459247213832175,10.075753228454628,0.7063953488372093,0.09064590845583204,0.0016948878203847145,0.03554084599553303,0.06754084599553303,6,6
7,0.0,10,random,0.919,0.9167809961819622,483931.05377374263,187200.0,365760.0,1.3833333333333333,2.585101782979394,1.8143811417268385,8.445226442007568,10.067592218190654,0.6944444444444444,0.09593797445435868,0.0007478006289472468,0.045049015194639636,0.08104901519463964,6,6
7,0.0,11,random,0.921,0.9190636560449217,525841.6359321722,205920.0,402336.0,1.378787878787879,2.55362099811661,1.9828937651915082,8.445226442007568,10.060570858879627,0.6927480916030534,0.1052833970862167,0.001206854444122466,0.05455718439374624,0.09455718439374625,6,6
7,0.0,12,random,0.921,0.9192059436664344,580371.36394543,224640.0,438912.0,1.3888888888888888,2.5835619833753127,2.178037918955441,8.431205670182962,10.052439852472796,0.7605633802816901,0.06644691463585978,0.0013430230152476428,0.050557184393746235,0.09455718439374625,6,6
7,0.0,13,random,0.926,0.9247442269241901,635397.2091280795,243360.0,475488.0,1.3974358974358974,2.6109352774822483,2.3729610412545563,8.431205670182962,10.044318055710333,0.7971698113207547,0.04967616132879085,0.001440288328319424,0.04655718439374623,0.09455718439374625,6,6
7,0.0,14,random,0.926,0.9247622547764431,674315.2884996064,262080.0,512064.0,1.380952380952381,2.572936845618158,2.5335453009951157,8.431205670182962,10.03762704488781,0.786096256684492,0.0516162201668858,0.002376490037218409,0.051966532974002,0.10796653297400202,6,6
7,0.0,15,random,0.928,0.926701199551925,721644.5356505882,280800.0,548640.0,1.3777777777777778,2.569959172544832,2.710185921948614,8.431205670182962,10.030267019014746,0.7740825688073395,0.05716864076327717,0.0023151981309913147,0.05206535359285283,0.10806535359285285,6,6
7,0.0,16,random,0.923,0.9218018400039281,756609.7462785669,299520.0,585216.0,1.3645833333333333,2.526074206325346,2.8632268471939297,8.431205670182962,10.023890313796192,0.7868852459016393,0.054449193198428655,0.0014863660392400648,0.04806535359285283,0.10806535359285285,6,6
7,0.0,17,random,0.925,0.9240504913064461,813530.3784517903,318240.0,621792.0,1.3725490196078431,2.556342315396528,3.062224244070622,8.417184898358355,10.015598755592997,0.7998154981549815,0.05399664026464493,0.001388180906382391,0.053462349595752245,0.12146234959575228,6,6
7,0.0,18,random,0.928,0.9270648789361993,874690.7681113909,336960.0,658368.0,1.3888888888888888,2.595829677443589,3.271782050452424,8.40316412653375,10.00686718032709,0.823728813559322,0.04796794277999096,0.00147406182980421,0.05357352279195943,0.12157352279195946,6,6
7,0.0,19,random,0.93,0.9289674862418202,925938.4384135866,355680.0,694944.0,1.394736842105263,2.6032907062910127,3.461412105554075,8.379959553339383,9.998965928031186,0.8650159744408946,0.03230274972956784,0.0011124779649336171,0.04957352279195942,0.12157352279195946,6,6
7,0.0,20,random,0.928,0.9270016337107586,968482.8483906182,374400.0,731520.0,1.3833333333333333,2.586759744633064,3.62582182982297,8.356754980145016,9.992115522853316,0.8771929824561403,0.02807662509220041,0.0007176964410665709,0.04557352279195942,0.12157352279195946,6,6
